Name,Country,Region,DOB,Industry,IndustryType,Company,SelfMade,Type,Gender,Generation,CompanyAcquired
Paul Foster,United States,North America,1958,Energy,Resource Related,Western Refining,self-made,privatized and resources,male,Unknown,new
Paul Jones II,United States,North America,1954,Hedge funds,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Paul Milstein,United States,North America,1923,Real Estate,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Paul Ramsay,Australia,North America,1936,Real Estate,Financial,Ramsay Health Care,self-made,founder non-finance,male,Unknown,new
Paul Raymond,United Kingdom,Europe,1925,Media,Non-Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Paul Riegel,Germany,Europe,1927,Consumer,Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Paul Singer,United States,North America,1945,Hedge funds,Financial,Elliott Associates,self-made,self-made finance,male,Unknown,new
"Paul Tudor Jones, II.",United States,North America,1955,Hedge funds,Financial,Tudor Investment Corporation,self-made,self-made finance,male,Unknown,new
Pauline MacMillan Keinath,United States,North America,1932,Consumer,Traded Sectors,Cargill,inherited,inherited,female,Third generation,new
Paul-Louis Halley,France,Europe,1935,"Retail, Restaurant",Non-Traded Sectors,Promodes,self-made,executive,male,Unknown,new
Pavel Tykac,Czech Republic,Europe,1965,Mining and metals,Resource Related,Motoinvest,self-made,privatized and resources,male,Unknown,new
Pedro Moreira Salles,Brazil,Latin America,1960,Money Management,Financial,Unibanco,inherited,inherited,male,Third generation,new
Penny Pritzker,United States,North America,1960,Real Estate,Financial,Hyatt,inherited,inherited,female,inherited from father,aquired
Perry Bass,United States,North America,1915,Energy,Resource Related,Bass Brothers Enterprises,inherited,inherited,male,inherited from father,new
Peter Briger,United States,North America,1964,Money Management,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Peter Buck,United States,North America,1931,"Retail, Restaurant",Non-Traded Sectors,Subway,self-made,founder non-finance,male,Unknown,new
Peter Cruddas,United Kingdom,Europe,1954,Money Management,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Peter Gilgan,Canada,North America,1951,Constrution,Non-Traded Sectors,Mattamy Homes,self-made,founder non-finance,male,Unknown,new
Peter Hargreaves,United Kingdom,Europe,1947,Money Management,Financial,Hargreaves Lansdown,self-made,self-made finance,male,Unknown,new
Peter Kellogg,United States,North America,1943,Money Management,Financial,"Spear, Leeds & Kellogg",inherited,inherited,male,inherited from father,new
Peter Lewis,United States,North America,1935,Hedge funds,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Peter Lim,Singapore,East Asia,1954,Money Management,Financial,Wilmar International,self-made,self-made finance,male,Unknown,new
Peter Nicholas,United States,North America,1941,Technology-Medical,New Sectors,Boston Scientific,self-made,founder non-finance,male,Unknown,new
Peter Peterson,United States,North America,1927,Money Management,Financial,Blackstone Group,self-made,self-made finance,male,Unknown,new
Peter Sondakh,Indonesia,East Asia,1952,Money Management,Financial,Golden Eagle Energy,self-made,self-made finance,male,Unknown,new
Peter Sperling,United States,North America,1960,Other,other,Apollo Group,inherited,inherited,male,inherited from father,new
Peter Thiel,United States,North America,1968,Technology-Computer,New Sectors,PayPal,self-made,founder non-finance,male,Unknown,new
